content,actual_title,predicted_simple,predicted_zero_shot,predicted_few_shot,predicted_refined,predicted_fine_tuned
خلاصه نتیجه بررسی طبق اطلاعات مرکز منابع ملی ازدواج سالم ، سازمان ثبت احوال و مرکز پژوهش‌های مجلس : • یکی از معیارهای رایج و معتبر در محاسبه آمار طلاق، نرخ طلاق متأهلان نام داد که نشان می‌دهد از هزار زن متأهل چند نفر طلاق می‌گیرند. • نرخ طلاق متأهلان بر سایر شاخص‌های محاسبه مانند نسبت طلاق به کل جمعیت و نسبت طلاق به ازدواج ارجحیت دارد. • براساس نرخ طلاق متأهلان، آمار طلاق در طول دهه 90 تقریبا ثابت (بین 8 تا 9) بوده است. آمار مرکز پژوهش‌های مجلس درباره شمار طلاق شرح ادعا وحید یامین‌پور در توییتر مدعی شده که باوجود افزایش تعداد طلاق‌ها، براساس شاخص عمومی طلاق و طلاق متأهلان، میزان طلاق در ۱۰سال گذشته در ایران تقریبا ثابت بوده است. ادعای وحید یامین پور درباره ازدواج و طلاق,باوجود افزایش تعداد طلاق‌ها، آمار طلاق در 10 سال گذشته در ایران تقریبا ثابت بوده است,نرخ طلاق در ایران در دهه 90 تقریبا ثابت بود,نرخ طلاق متأهلان در ایران طی ده سال گذشته تقریبا ثابت باقی مانده است.,نرخ طلاق متأهلان در ایران در دهه 90 تقریبا ثابت بود.,نرخ طلاق متأهلان در دهه 90 تقریبا ثابت بوده است.,آمار طلاق در ۱۰ سال گذشته تقریبا ثابت بوده است
یک کاربر تلگرام در كانال شخصی خود و در تمجید از انتصاب خانم سیده زهرا برقعی به مدیریت جامعه‌الزهرا نوشته است که «مدیریت حوزه به شکل سنتی همواره و منحصرا مردانه بوده و این نخستین‌ بار است که زنان در سطوح مدیریتی رده‌بالای حوزه حضور پیدا می‌کنند.» جامعه‌الزهرا در مرکب پایین‌تر توسط هیئت‌مدیره اداره می‌شده است، که در بین اعضای آن فریده مصطفوی، مرضیه معینی، و معصومه گلگیری حضور داشته‌اند. بر این اساس در بین اعضای هیئت‌مدیره بانوانی حضور داشته و جامعه الزهرا را اداره می‌کرده‌اند. هم‌چنین طبق گفته حجت الاسلام و المسلمین بهجت‌پور، رییس حوزه علمیه خواهران کشور، مدیران ۴۲۰ حوزه علمیه از خانم‌ها هستند. در بررسی‌های دیگر، نام برخی از بانوانی که در سطوح بالای مدیریتی در حوزه علمیه مشغول به فعالیت هستند به عنوان مثال آورده می‌شود: فاطمه کبری متولیان، معاون پژوهش حوزه‌های علمیه خواهران معصومه ظهیری، معاون فرهنگی تبلیغی مرکز مدیریت حوزه‌های علمیه خواهران خانم فریبا علاسوند، عضو شورای سیاست‌گذاری حوزه‌های علمیه خواهران خانم داودی، معاون آموزش حوزه‌های علمیه خواهران  از سال 96 تا 99 https://b2n.ir/f34551 https://b2n.ir/s77594 http://shabestan.ir/detail/News/1025789 https://hawzahnews.com/xb2P5 https://b2n.ir/b26496,سیده زهرا برقعی اولین زن در سطوح مدیریتی حوزه است.,انتصاب نخستین مدیر زن در سطح بالا در حوزه علمیه,انتصاب نخستین مدیر زن رده بالا در جامعه‌الزهرا، گام مهمی در پیشبرد حضور زنان در حوزه‌های علمیه است.,انتصاب نخستین مدیر زن در سطوح مدیریتی بالای حوزه جامعه‌الزهرا، خبری خوشایند است.,این نخستین‌باره است که زنان در سطوح مدیریتی رده‌بالای حوزه حضور پیدا می‌کنند.,برای اولین‌بار در حوزه علمیه خواهران، زنی در جایگاه مدیر جامعه‌الزهرا حضور دارد.
شرح ادعا کاربری در توییتر ادعا کرده است که آیت الله شبیری، سبحانی، مکارم شیرازی، صانعی و صافی گلپایگانی قبلا فتوا دادند که ضبط فیلم از افراد بدون اجازه آن‌ها حرام شرعی است. نتيجه بررسی در تماس تلفنی با دفاتر آیت‌الله صافی و آیت‌الله صانعی و آیت‌الله مکارم مشخص شد طبق نظر آن‌ها، ضبط فیلم از افراد بدون اجازه آن‌ها، از نظر شرعی حرام است. طبق سوالی که از آیت‌الله سبحانی شده مبنی‌بر اینکه آيا مى‌توان بدون اجازه از افراد، فیلمبرداری کرده و منتشر نمود؟ ایشان پاسخ داده‌اند که اگر افراد رضایت نداشته باشند، هر نوع تصرف در شئون انسان، پخش عكس و صدا و غيره، نياز به اجازه دارد. آیت‌الله شبیری در موضوع  ثبوت حق نسبت به ضبط صدا و تصویر شخصی و پخش آن و همچنین، تهیه خبر به‌صورت مخفیانه، اعلام کرده است که انجام این کار حرام است. نظر آیت‌الله سبحانی,طبق نظر آیات عظام شبیری، سبحانی، مکارم، صانعی و صافی ضبط فیلم از افراد بدون اجازه آن‌ها حرام است,فتواهای جدید درباره ضبط فیلم بدون اجازه,آیت‌الله‌های عظام شبیری، سبحانی، مکارم، صانعی و صافی فتوا دادند: ضبط فیلم بدون اجازه شرعاً حرام است.,آیت‌الله‌های شبیری، سبحانی، مکارم، صانعی و صافی فتوا دادند: ضبط فیلم بدون اجازه حرام است.,"آیت‌الله‌های شبیری، سبحانی، مکارم، صانعی و صافی فتوا دادند: ضبط
فیلم بدون اجازه حرام است.",آیت‌الله‌های شبیری، صانعی، مکارم و سبحانی در فتواهای قبلی خود گفته‌اند که ضبط فیلم از افراد بدون اجازه آن‌ها حرام شرعی است
شرح ادعا: یک پیج اینستاگرامی در پستی مدعی شد که امارات با استفاده از تکنولوژی هیدروپنل سالیانه 2.5 میلیون لیتر آب آشامیدنی از هوا تولید می‌کند. نتیجه بررسی ادعا: بر اساس گزارش‌های منتشرشده در Sustainability Middle East News و سایت رسمی شرکت A1RWATER ، این شرکت در ابوظبی با هدف تولید آب آشامیدنی خالص از رطوبت هوا تأسیس شده است. اولین قطره آب تولید شده با این فناوری در سال ۲۰۱۸ جشن گرفته شد. تا اوایل سال ۲۰۲۵، این شرکت موفق به تولید حدود ۵.۸ میلیون لیتر آب در طی تقریباً ۶ سال فعالیت شده است، اما آماری تفکیک‌شده برای سال‌های مختلف یا سال گذشته منتشر نشده است. ظرفیت تولید فعلی این شرکت روزانه حدود ۱۲۰ هزار لیتر آب آشامیدنی است که در صورت فعالیت پیوسته در طول سال، معادل حدود ۴۳ میلیون لیتر در سال خواهد بود. این آب با بسته‌بندی در بطری‌های شیشه‌ای به هتل‌ها، مدارس، شرکت‌ها و دیگر مراکز عرضه می‌شود. طبق اعلام دولت امارات، این کشور مصرف سالانه آب آشامیدنی در این کشور معادل 1.9 تریلیون لیتر در سال بوده است. با وجود صحت سرمایه‌گذاری و بهره‌برداری از فناوری هیدروپنل در امارات، عدد ۲.۵ میلیون لیتر در سال دقیق نیست و در منابع بررسی شده اشاره‌ای به آن نشده‌ است. بنابراین ادعای مطرح شده نیمه درست ارزیابی می‌شود.,امارات سالیانه ۲.۵ میلیون لیتر آب آشامیدنی از هوا تولید می‌کند,تولید آب از هوا در امارات: ادعاها و واقعیت‌ها,تولید آب آشامیدنی از هوا در امارات: فناوری هیدروپنل با ظرفیت تولید سالانه حدود ۴۳ میلیون لیتر تایید می‌شود.,امارات با فناوری هیدروپنل سالانه حدود 43 میلیون لیتر آب تولید می‌کند.,امارات با استفاده از هیدروپنل سالانه 43 میلیون لیتر آب تولید می‌کند,امارات سالیانه ۲.۵ میلیون لیتر آب آشامیدنی از هوا تولید می‌کند
"بررسی‌ها نشان می‌دهد که اولا طبق پایگاه داده زندانیان (WPB)، مجموع زندانیان زن جهان 740 هزار نفر است که از این تعداد حدود 211 هزار نفر (یک‌سوم) در آمریکا هستند (چین و برزیل و روسیه در رتبه‌های بعدی هستند). ثانیا طبق گزارش واشنگتن پست از سال 2015 تا سال 2020، 250 نفر زن توسط پلیس امریکا به قتل رسیده‌اند. لازم به ذکر است که در مواردی مانند امید به زندگی، درصد زنان هیات علمی و اشتغال و ضعیت زنان امریکایی از ایران بهتر است. در پی اخراج ایران از کمیسیون مقام زن سازمان ملل با رای موافق 29 کشور در برابر 8 رای مخالف شورای اقتصادی و اجتماعی سازمان ملل این موضوع از مباحث پربازدید فضای شبکه‌های اجتماعی توئیتر فارسی شد. به طوری که در پی اعتراض اخراج ایران از کمیسیون مقام زن سازمان ملل علی بهادری جهرمی به تعداد زندانیان زن جهان در امریکا اشاره کردند؛ که «یک‌سوم زندانیان زن جهان، در امریکا زندانی هستند» (تصویر زیر). توییتر علی بهادر جهرمی مبنی بر تعداد زندانیان زن درآمریکا طبق ‌آمار اعلام شده پایگاه داده زندانیان در جهان دانشکده حقوق دانشگاه لندن (Birkbeck, University of London)  تعداد زندانیان زنان در جهان 000’740 نفر می‌باشند (تصویر زیر). این پایگاه داده تعداد زندانی‌های هر کشور را از منابع رسمی جمع‌آوری و منتشر می‌کند. آمار تعداد زندانیان زن در جهان از طرفی بنابر همین پایگاه داده (WPB) آمار زندانیان زن در آمریکا در حدود 375’211 نفر است (تصویر زیر). آمار زندانیان زن در آمریکا همچنین در یادداشتی از واشنگتن پست آمده است که از سال 2015  تا سال 2020 حدود 250 زن توسط پلیس در اماکن مختلف به قتل رسیده‌اند (تصویر زیر). یادداشت واشنگتن پست مبنی بر کشته شدن 250 زن بر اثر شلیک پلیس علاوه بر این در پایگاه داده واشنگتن پست آمده است که در امریکا از سال 2015 تا کنون بیش از  000’8  نفر قرباتی توسط پلیس و شلیک گلوله به قتل رسیده‌اند که از این تعداد 358 زن و 68  زن سیاه پوست آمریکایی و  13 قربانی زیر 18 سال  در ایالت‌های مختلف ثبت شده‌اند. تصویر پایگاه داده واشنگتن پست از قربانی‌های شلیک پلیس چین، برزیل، روسیه بیشترین زندانیان زن جهان بعد از امریکا بنابراین طبق بررسی‌های انجام شده  ادعای علی بهادرمی جهرمی مبنی بر یک‌سوم زندانیان زن جهان در امریکا هستند و از سال 2015 تا 2020 دست‌کم 250 زن با شلیک پلیس آمریکا کشته شده‌اند درست می‌باشد. اما علی بهادری جهرمی فقط به چند مورد و به صورت گزینشی از وضعیت زنان آمریکا را منتشر کرده است. به طوری که در پایگاه ورلدومتر آمده است که امید به زندگی در زنان امریکا 81 سال است و امید به زندگی زنان ایرانی 78سال است. پایگاه ولدومتر ارائه آمار امید به زندگی در کشورهای متفاوت",یک‌سوم زندانیان زن جهان در امریکا هستند و از سال 2015 تا سال 2020 دست‌کم 250 زن با شلیک پلیس آمریکا کشته شده‌اند,تعداد زنان زندانی در آمریکا: یک سوم زندانیان زن جهان,زندانیان زن جهان در آمریکا، یک‌سوم کل، و 250 زن توسط پلیس کشته شده‌اند.,علی بهادری جهرمی: یک‌سوم زندانیان زن جهان در آمریکا هستند,علی بهادری جهرمی ادعا کرد یک‌سوم زندانیان زن جهان در آمریکا هستند.,یک‌سوم زندانیان زن جهان در آمریکا هستند و سالانه 250 زن توسط پلیس کشته می‌شوند.
خلاصه نتیجه بررسی مطابق با نظرسنجی Associated Press-NORC : ۱- ۲۶ درصد از آمریکایی‌­ها موافق نامزدی جو بایدن در انتخابات ۲۰۲۴ هستند. ۲- ۴۷ درصد دموکرات­‌ها موافق نامزدی جو بایدن در انتخابات هستند. ۳- ۴۷ درصد دموکرات‌­ها موافق نامزدی جو بایدن در انتخابات هستند. ۴- ۵۶ درصد آمریکایی‌ها بعید است از بایدن حمایت کنند. ۵- ۶۵ درصد آمریکایی‌­ها از ترامپ حمایت نمی­‌کنند. ۶- آماری از حمایت یا مخالفت حزب جمهوری­­خواه با نامزدی دونالد ترامپ در انتخابات ۲۰۲۴ وجود ندارد. شرح ادعا کانال تلگرامی پایش آمریکا اخیراْ مطلبی به نقل از نظرسنجی خبرگزاری آسوشیتدپرس منتشر کرده که در آن ادعا می­کند: بیشتر آمریکایی­ها مخالف نامزدی مجدد بایدن و ترامپ در انتخابات ریاست­جمهوری ۲۰۲۴ هستند. ۷۳ درصد آمریکایی­ها خواهان نامزدی مجدد جو­بایدن در انتخابات نیستند. ۷۰ درصد آمریکایی­ها مخالف کاندیداتوری مجدد ترامپ هستند. ۵۲ درصد از دموکرات­ها خواهان نامزدی مجدد جوبایدن نیستند. ۴۵ درصد جمهوری­خواهان مخالف کاندیداتوری مجدد ترامپ هستند. تصویر ادعای کانال تلگرامی پایش آمریکا درباره کاندیداتوری دونالد ترامپ و جوبایدن در انتخابات ۲۰۲۴,اکثر آمریکایی‌ها مخالف نامزدی بایدن و ترامپ در انتخابات ریاست­ جمهوری ۲۰۲۴ هستند,نتایج نظرسنجی: حمایت از بایدن و ترامپ در حال کاهش,نظرسنجی نشان می‌دهد: حمایت از بایدن و ترامپ در انتخابات ۲۰۲۴ در آمریکا کاهش قابل توجهی یافته است.,اکثریت آمریکایی‌ها مخالف نامزدی مجدد بایدن و ترامپ هستند,اکثریت آمریکایی‌ها مخالف نامزدی مجدد بایدن و ترامپ هستند,بیشتر آمریکایی‌ها از نامزدی مجدد بایدن و ترامپ در انتخابات ۲۰۲۴ حمایت نمی‌کنند
شرح ادعا کاربری در ایکس ادعا کرده است که تجارت چین با امارات، ۶ برابر تجارت با ایران است. نتیجه بررسی براساس وب‌سایت معاونت اقتصادی دیپلماسی وزارت خارجه: در نیمه اول سال ۲۰۲۳، در بین کشورهای حاشیه خلیج فارس در رتبه دوم پس از عربستان سعودی، امارات متحده عربی با ۴۷ میلیارد دلار بیشترین حجم مبادلات تجاری را با چین داشته است. بر اساس آمار گمرک چین، حجم مبادلات تجاری چین با جمهوری اسلامی ایران در شش ماهه اول ۲۰۲۳ بالغ بر ۷/۵۳ میلیارد دلار بوده است. پس، طبق این داده‌ها، تجارت چین با امارات، در نیمه اول ۲۰۲۳ تقریبا ۶ برابر تجارت چین با ایران بوده است. گفتنی است که در کل سال ۲۰۲۳، حجم مبادلات خارجی چین و امارات حدود ۹۵ میلیارد دلار بوده و همین عدد، در رابطه با ایران ، ۱۴/۶ میلیارد دلار است. درواقع در سال ۲۰۲۳ حجم تجارت خارجی امارات و چین، ۶ برابر تجارت چین و ایران بوده است.,تجارت چین با امارات، ۶ برابر تجارت چین با ایران است,تبادل تجاری امارات و چین، شش برابر ایران در نیمه اول سال ۲۰۲۳,امارات متحده عربی تجارت سالانه با چین را شش برابر ایران در سال ۲۰۲۳ افزایش داده است.,تجارت چین با امارات، شش برابر تجارت با ایران است.,تجارت چین با امارات، شش برابر تجارت با ایران است.,تجارت چین با امارات ۶ برابر تجارت چین با ایران است
شرح ادعا کاربری در شبکه اجتماعی ایکس ادعا کرده‌است که چین بعد از کانادا و مکزیک (همسایه‌های هم مرز آمریکا)، بیشترین حجم تجارت را با آمریکا دارد و حجم تجارت این دو کشور، حتی از حجم تجارت آمریکا با اتحادیه اروپا بیشتر است. نتیجه بررسی براساس جدیدترین داده‌های وبسایت Census bureau ، که وبسایت رسمی ارائه اطلاعات در مورد تجارت ایالات متحده است، بیشترین حجم تجاری آمریکا به ترتیب با مکزیک، کانادا و چین بوده‌است. براساس گزارشی دیگر از همین وبسایت ، حجم تجارت اتحادیه اروپا و آمریکا، حدود ۸۱۲ میلیارد و ۳۴۶میلیون دلار است. بنابراین، از آنجا که ادعای کاربر در مورد بیشتر بودن حجم تجارت آمریکا با چین از حجم تجارت آمریکا با اروپا نادرست است؛ اما ادعای وی در مورد اینکه چین سومین شریک تجاری آمریکاست درست بوده‌است؛ پس ادعای وی نیمه‌درست ارزیابی می‌شود.,چین، سومین شریک تجاری آمریکا است و سهم بیشتری از اتحادیه اروپا در تجارت با این کشور دارد,تجارت آمریکا با چین، سوم بیش از همه؟,چین، با مکزیک و کانادا، بیشترین حجم تجارت را با آمریکا دارد و از اتحادیه اروپا بیشتر است.,"چین سومین شریک تجاری آمریکا است، اما تجارت با چین از
اتحادیه اروپا بیشتر نیست.","چین سومین شریک تجاری آمریکا است، اما تجارت آن با آمریکا
از تجارت آمریکا با اروپا بیشتر نیست.",چین بعد از کانادا و مکزیک، بیشترین حجم تجارت را با آمریکا دارد
شرح ادعا سید یاسر جبرائیلی با انتشار پستی در شبکه ایکس، ادعا کرده‌است که صندوق بین المللی پول بر اساس شاخص برابری قدرت خرید، ارزش هر دلار را ۱۴ هزار و ۷۰۰ تومان اعلام کرده‌است. نتیجه بررسی صندوق بین‌المللی پول، براساس شاخص برابری قدرت خرید(PPP)، قیمت دلار را ۱۴ هزار و ۷۰۰ تومان اعلام کرده‌است. طبق تعریف این سازمان بین‌المللی، شاخص برابری قدرت خرید (PPP) بر اساس هزینه یک سبد مشخص از کالاها و خدمات محاسبه می‌شود. به عنوان مثال، فرض کنید هزینه سبد مشخصی (شامل برنج، نان و ویزیت پزشک عمومی) در روسیه ۱۰ روبل و در آمریکا ۱ دلار باشد. این بدان معنا نیست که ارزش هر دلار معادل ۱۰ روبل است، بلکه نشان می‌دهد قدرت خرید ۱۰ روبل برای تهیه این سبد مشخص، با قدرت خرید ۱ دلار در آمریکا برابر است.,صندوق بین‌المللی پول، قیمت دلار را ۱۴ هزار و ۷۰۰ تومان اعلام کرده‌است,اعلام صندوق بین‌المللی پول: ارزش دلار به ۱۴ هزار و ۷۰۰ تومان,صندوق بین‌المللی پول اعلام کرد ارزش دلار بر اساس قدرت خرید، ۱۴ هزار و ۷۰۰ تومان است.,صندوق بین‌المللی پول ارزش هر دلار را ۱۴ هزار و ۷۰۰ تومان اعلام کرده‌است.,صندوق بین‌المللی پول ارزش هر دلار را ۱۴ هزار و ۷۰۰ تومان اعلام کرده‌است.,براساس شاخص برابری قدرت خرید، ارزش هر دلار ۱۴ هزار و ۷۰۰ تومان اعلام شد
شرح ادعا جلیلی در مناظره 12 تیر ادعا کرد که شهید رئیسی چندین بار به آفریقا سفر کردند و گشایش اقتصادی ایجاد شده بود. نتیجه بررسی طبق سایت دولت ، شهید رئیسی به ۲۹ کشور جهان سفر کرده است. که در آن به کشورهای آفریقای جنوبی از جمله زیمباوه، اوگاندا و کنیا. طبق آمار گمرک، میانگین تراز تجاری در دولت شهید رئیسی نسبت به دولت روحانی کم‌تر بوده است. برای مثال در سال ۱۳۹۹ تراز تجاری ایران در حوزه تجارت منفی ۱۲.۷۹ و در سال ۱۴۰۲ منفی ۱۴.۹۹ بوده است.,جلیلی :شهید رئیسی چندین بار به آفریقا سفر کردند و گشایش اقتصادی ایجاد شده بود,ادعاهای جلیلی درباره سفر رئیسی به آفریقا و وضعیت اقتصادی مورد تردید است,شهید رئیسی به کشورهای آفریقایی سفر کردند و تجارت ایران با این کشورها کاهش یافته است.,رئیسی در مناظره ادعا کرد: سفرها و گشایش اقتصادی در آفریقا,جلیلی ادعا کرد شهید رئیسی چندین بار به آفریقا سفر کرده و گشایش اقتصادی ایجاد شد.,جلیلی: شهید رئیسی چندین بار به آفریقا سفر کردند و گشایشی اقتصادی هم ایجاد شد
